PASS 12/120 races, seed 11, wall 7.1s
PASS 24/120 races, seed 12, wall 14.3s
PASS 36/120 races, seed 13, wall 20.7s
PASS 48/120 races, seed 14, wall 27.0s
PASS 60/120 races, seed 15, wall 32.9s
PASS 72/120 races, seed 16, wall 38.4s
PASS 84/120 races, seed 17, wall 44.1s
PASS 96/120 races, seed 18, wall 50.2s
PASS 108/120 races, seed 19, wall 55.9s
PASS 120/120 races, seed 20, wall 61.6s
PASS extended physics soak 120 races
