PASS 12/120 races, seed 11, wall 25.0s
PASS 24/120 races, seed 12, wall 41.6s
PASS 36/120 races, seed 13, wall 57.4s
PASS 48/120 races, seed 14, wall 72.4s
PASS 60/120 races, seed 15, wall 88.1s
PASS 72/120 races, seed 16, wall 102.6s
PASS 84/120 races, seed 17, wall 115.7s
PASS 96/120 races, seed 18, wall 128.1s
PASS 108/120 races, seed 19, wall 140.3s
PASS 120/120 races, seed 20, wall 153.0s
PASS extended physics soak 120 races
