PASS 60/600 races, seed 11, wall 117.1s
PASS 120/600 races, seed 12, wall 209.9s
PASS 180/600 races, seed 13, wall 308.1s
PASS 240/600 races, seed 14, wall 392.1s
PASS 300/600 races, seed 15, wall 474.7s
PASS 360/600 races, seed 16, wall 559.0s
PASS 420/600 races, seed 17, wall 647.7s
PASS 480/600 races, seed 18, wall 731.6s
PASS 540/600 races, seed 19, wall 826.2s
PASS 600/600 races, seed 20, wall 955.5s
PASS extended physics soak 600 races
