PASS 48/480 races, seed 11, wall 65.6s
PASS 96/480 races, seed 12, wall 140.7s
PASS 144/480 races, seed 13, wall 230.3s
PASS 192/480 races, seed 14, wall 308.2s
PASS 240/480 races, seed 15, wall 385.7s
PASS 288/480 races, seed 16, wall 458.9s
PASS 336/480 races, seed 17, wall 531.2s
PASS 384/480 races, seed 18, wall 606.4s
PASS 432/480 races, seed 19, wall 681.0s
PASS 480/480 races, seed 20, wall 753.1s
PASS extended physics soak 480 races
